Project Name,Directorate,Project Classification,Project Type,Wellbeing Domain/ Government Priority,2021-2022 Budgeted Financing ($'000),2022-2023 Budgeted Financing ($'000),2023-2024 Budgeted Financing ($'000),2024-2025 Budgeted Financing ($'000),2025-2026 Budgeted Financing ($'000),Total Budgeted Financing ($'000)
Road Safety Works - Variable Speed Limit Systems (ACT contribution),Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Safety,0,"1,192",0,0,0,"1,192"
Road Safety Works - Variable Speed Limit Systems (Cth contribution),Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Safety,307,0,0,0,0,307
Road Transport Legislation Amendment Bill,"Chief Minister, Treasury and Economic Development Directorate",New Works,Public transport and active travel,Access and connectivity,0,108,0,0,0,108
Safer Dams and Weirs Improvement Program,Transport Canberra and City Services Directorate,Better Infrastructure Fund,Environment and climate,Safety,"1,610",0,0,0,0,"1,610"
School Staffing Integrated Management System (Design),Education Directorate,Works-in-progress,Education,Education and life-long learning,42,0,0,0,0,42
Schools for Gungahlin - Expansion of Margaret Hendry Primary School and New Taylor High School,Education Directorate,New Works,Education,Education and life-long learning,"15,520","66,260","36,220",0,0,"118,000"
Schools for our growing city - Kenny High School,Transport Canberra and City Services Directorate,Works-in-progress,Education,Education and life-long learning,"5,454","5,370","5,650",0,0,"16,474"
Schools for our growing city - North Gungahlin High School,Education Directorate,Works-in-progress,Education,Education and life-long learning,170,"1,680",0,0,0,"1,850"
Schools for our growing city - North Gungahlin Primary School capacity,Education Directorate,Works-in-progress,Education,Education and life-long learning,138,662,0,0,0,800
Schools for the Future - North Gungahlin and Molonglo,Education Directorate,Works-in-progress,Education,Education and life-long learning,12,0,0,0,0,12
Scoping for East Lake urban renewal,"Environment, Planning and Sustainable Development Directorate",Works-in-progress,Urban infrastructure,Access and connectivity,30,0,0,0,0,30
Secure Mental Health Unit,Canberra Health Services,Works-in-progress,Health services,Health,84,0,0,0,0,84
Securing Electricity Supply in the ACT - Second supply network,"Environment, Planning and Sustainable Development Directorate",Works-in-progress,Economic growth,Economy,30,0,0,0,0,30
Senior Practitioner Information Management System,Community Services Directorate,Works-in-progress,Community services,Governance and institution,18,0,0,0,0,18
Set up for Success: An Early Childhood Strategy for the ACT - Phase One,Education Directorate,New Works,Education,Education and life-long learning,200,400,0,0,0,600
Site works for Watson Section 76,"Environment, Planning and Sustainable Development Directorate",New Works,Economic growth,Housing and home,220,"3,970",0,0,0,"4,190"
Smarter Regulation - Red tape reduction,"Chief Minister, Treasury and Economic Development Directorate",Works-in-progress,Economic growth,Economy,198,0,0,0,0,198
Social cost of carbon,"Environment, Planning and Sustainable Development Directorate",Better Infrastructure Fund,Environment and climate,Environment and climate,"1,340",0,0,0,0,"1,340"
Sport and Recreation Omnibus,Transport Canberra and City Services Directorate,New Works,Urban infrastructure,Social connection,950,0,0,0,0,950
Sterilising Services - Relocation and upgrade,Canberra Health Services,Works-in-progress,Health services,Health,492,0,0,0,0,492
Strategic accommodation study for Policing,Justice and Community Safety Directorate,Works-in-progress,Community services,Safety,126,0,0,0,0,126
Streamlining the funding of Major Projects Canberra,Major Projects Canberra,Better Infrastructure Fund,Other,Economy,"3,625","3,690","3,941","4,114","4,217","19,587"
Strengthening bushfire preparedness and ACT Rural Fire Service partnerships - Capital,Justice and Community Safety Directorate,New Works,Community services,Safety,53,17,0,0,0,70
Strengthening Emergency Services - Territory Radio Network upgrade - Phases 2 and 3,Justice and Community Safety Directorate,Works-in-progress,Community services,Safety,452,0,0,0,0,452
Strengthening infrastructure supporting Canberra's new public transport network,Transport Canberra and City Services Directorate,Works-in-progress,Public transport and active travel,Access and connectivity,"1,652",0,0,0,0,"1,652"
Strengthening specialist capacity at Bimberi Youth Justice Centre,Community Services Directorate,Works-in-progress,Community services,Access and connectivity,3,0,0,0,0,3
Stromlo Forest Park - Improved parking,"Chief Minister, Treasury and Economic Development Directorate",New Works,Urban infrastructure,Access and connectivity,343,"2,543",0,0,0,"2,886"
Supporting more Canberrans to Park and Ride,Transport Canberra and City Services Directorate,Works-in-progress,Public transport and active travel,Access and connectivity,"1,304",610,0,0,0,"1,914"
Supporting our heritage - Funding for the National Trust and upgrading the Heritage Council database and website,"Environment, Planning and Sustainable Development Directorate",Works-in-progress,Urban infrastructure,Identity and belonging,253,247,0,0,0,500
Supporting our School System - Improving ICT,Education Directorate,Works-in-progress,Education,Education and life-long learning,"7,796","6,034","6,197","6,321","6,321","32,669"
Sustainable Rural Water Use and Infrastructure Programme - Capital,"Environment, Planning and Sustainable Development Directorate",Works-in-progress,Environment and climate,Environment and climate,300,0,0,0,0,300
The Canberra Hospital - Essential infrastructure and engineering works,Canberra Health Services,Works-in-progress,Health services,Health,708,550,0,0,0,"1,258"
The Local Roads and Community Infrastructure (Cth contribution),"Chief Minister, Treasury and Economic Development Directorate",Works-in-progress,Urban roads,Access and connectivity,"4,766","8,459",0,0,0,"13,225"
Throsby Home of Football - Stage 2,"Chief Minister, Treasury and Economic Development Directorate",New Works,Urban infrastructure,Social connection,0,"3,000","6,000",0,0,"9,000"
Transport for Canberra - Real Time Passenger Information System,Transport Canberra and City Services Directorate,Works-in-progress,Public transport and active travel,Access and connectivity,"1,555",0,0,0,0,"1,555"
Tuggeranong Arts Centre Theatre Upgrade,"Chief Minister, Treasury and Economic Development Directorate",New Works,Urban infrastructure,Identity and belonging,430,"1,400",170,0,0,"2,000"
University of Canberra Public Hospital,Canberra Health Services,Works-in-progress,Health services,Health,462,0,0,0,0,462
University of Canberra Public Hospital Car Park (Grant),Canberra Health Services,Works-in-progress,Health services,Health,307,0,0,0,0,307
Upgrade and Refurbishment of Critical Buildings at Canberra Hospital,Canberra Health Services,Works-in-progress,Health services,Health,"6,036","9,872",0,0,0,"15,908"
Upgrade toilet - Orroral Valley Campground,"Environment, Planning and Sustainable Development Directorate",Better Infrastructure Fund,Urban infrastructure,Access and connectivity,66,0,0,0,0,66
Upgrading ACT Policing facilities,Justice and Community Safety Directorate,Works-in-progress,Community services,Safety,150,0,0,0,0,150
Upgrading an intersection on Owen Dixon Drive (ACT contribution),Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Safety,164,500,"4,000",0,0,"4,664"
Upgrading an intersection on Owen Dixon Drive (Cth contribution),Transport Canberra and City Services Directorate,Works-in-progress,Major roads,Safety,"2,500","2,500",0,0,0,"5,000"
Upgrading Canberra venues,"Chief Minister, Treasury and Economic Development Directorate",New Works,Urban infrastructure,Social connection,959,"2,100",0,0,0,"3,059"
Upgrading Canberra venues,"Chief Minister, Treasury and Economic Development Directorate",New Works,Urban infrastructure,Social connection,0,"5,000",0,0,0,"5,000"
Upgrading cyber security responses,"Chief Minister, Treasury and Economic Development Directorate",Works-in-progress,Economic growth,Governance and institution,273,0,0,0,0,273
Upgrading essential services at the Alexander Maconochie Centre,Justice and Community Safety Directorate,Works-in-progress,Community services,Safety,"1,125",0,0,0,0,"1,125"
Upgrading essential services at the Alexander Maconochie Centre,Justice and Community Safety Directorate,Works-in-progress,Community services,Safety,"1,101","4,721",0,0,0,"5,822"
Upgrading Lanyon Homestead,Cultural Facilities Corporation,Works-in-progress,Economic growth,Identity and belonging,988,"1,621",0,0,0,"2,609"
Upgrading local arts facilities,"Chief Minister, Treasury and Economic Development Directorate",Works-in-progress,Economic growth,Social connection,643,643,0,0,0,"1,286"
Upgrading local community centres,"Chief Minister, Treasury and Economic Development Directorate",Works-in-progress,Urban infrastructure,Social connection,463,300,0,0,0,763
Upgrading the ACT Material Recovery Facility (ACT contribution),Transport Canberra and City Services Directorate,Works-in-progress,Environment and climate,Environment and climate,381,"2,500","9,350",0,232,"12,463"
Upgrading the ACT Material Recovery Facility (Cth contribution),Transport Canberra and City Services Directorate,Works-in-progress,Environment and climate,Environment and climate,0,"5,000","5,360",0,0,"10,360"
Upgrading the ACT State Emergency Service’s Majura Unit facility,Justice and Community Safety Directorate,Works-in-progress,Community services,Safety,19,"1,518",0,0,0,"1,537"
Walk-in health centre - Coombs  pilot,Canberra Health Services,Works-in-progress,Health services,Health,250,0,0,0,0,250
"Well -prepared emergency services - Improving safety at police, emergency services and corrections facilities",Justice and Community Safety Directorate,New Works,Community services,Safety,150,"1,508",0,0,0,"1,658"
Well-prepared emergency services - Gungahlin Joint Emergency Service Centre,Justice and Community Safety Directorate,New Works,Community services,Safety,344,"6,364","1,469",50,0,"8,227"
Well-prepared emergency services - Strengthening  ICT infrastructure,Justice and Community Safety Directorate,New Works,Community services,Safety,"1,124",586,0,0,0,"1,710"
Well-prepared emergency services - Vehicle replacement program,Justice and Community Safety Directorate,New Works,Community services,Safety,152,"5,222","4,377","3,029","3,000","15,780"
Connected and sustainable Canberra - Constructing the William Hovell Drive duplication (Cth contribution),Transport Canberra and City Services Directorate,New Works,Major roads,Access and connectivity,0,"6,950","11,900","7,650","2,650","29,150"
Woden Bus Depot Augmentation,Transport Canberra and City Services Directorate,Works-in-progress,Public transport and active travel,Access and connectivity,"1,778","12,000","19,398",0,0,"33,176"
Workplace health and safety - Increased support,Office of the Work Health and Safety Commissioner,New Works,Community services,Safety,350,0,0,0,0,350
